"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC116534.1.10",7.76675218207736e-05,-0.0347622469168257,0.113,0.264,0.155335043641547,"17","AC116534.1"
"PTH2R.10",7.87755642677477e-05,-0.044651637106106,0.111,0.369,0.157551128535495,"17","PTH2R"
"SCN2A.10",7.9698171356038e-05,-0.174991057067715,0.665,0.539,0.159396342712076,"17","SCN2A"
"AGPAT2.10",8.3155705123008e-05,-0.445022871545132,0.634,0.499,0.166311410246016,"17","AGPAT2"
"PTPRQ.10",8.31981446327875e-05,-1.81110585194103,0.804,0.806,0.166396289265575,"17","PTPRQ"
"AC007091.1.10",8.34535055303542e-05,0.00920488231553326,0.266,0.33,0.166907011060708,"17","AC007091.1"
"IQGAP2.10",8.54238853314543e-05,-1.46623615603898,0.549,0.574,0.170847770662909,"17","IQGAP2"
"NKAIN3.10",8.63841698191875e-05,-0.0427312867526375,0.22,0.293,0.172768339638375,"17","NKAIN3"
"AC098588.3.10",9.12812553262996e-05,-0.197778585851453,0.623,0.578,0.182562510652599,"17","AC098588.3"
"PKHD1L1.10",9.55385175035219e-05,-1.83256192648527,0.816,0.792,0.191077035007044,"17","PKHD1L1"
"SLFN12L.10",9.62503751468983e-05,0.392040332980866,0.483,0.656,0.192500750293797,"17","SLFN12L"
"CX3CL1.10",9.70434016377732e-05,-0.0716740489778013,0.467,0.306,0.194086803275546,"17","CX3CL1"
"MUSK.10",9.84532037342872e-05,-0.115710006870372,0.401,0.317,0.196906407468574,"17","MUSK"
"LINC02853.10",0.000108368057274733,-0.0852425079668899,0.658,0.534,0.216736114549466,"17","LINC02853"
"DYNC1I1.10",0.000115460003617161,0.695576745782423,0.585,0.623,0.230920007234323,"17","DYNC1I1"
"KIF26B.10",0.000125652365251491,0.0688930827419089,0.333,0.428,0.251304730502982,"17","KIF26B"
"LINC01673.10",0.000152231639142032,-0.0645123833376649,0.278,0.211,0.304463278284064,"17","LINC01673"
"IRS2.10",0.000155886908975877,-0.952502618595198,0.684,0.68,0.311773817951755,"17","IRS2"
"CYP1B1-AS1.10",0.000161300458280082,-0.285703528946141,0.521,0.572,0.322600916560163,"17","CYP1B1-AS1"
"BMPER.10",0.00018076842866951,-0.495006182423522,0.753,0.663,0.36153685733902,"17","BMPER"
"AC008050.1.10",0.000206603261140385,-0.0983239604686166,0.562,0.49,0.41320652228077,"17","AC008050.1"
